ID,Name,NameKR,MinLevel,MaxLevel,BossID,Desc
1063,Zone_1063,신라 골품의 황금 궁궐,6301,6400,0,화려한 인테리어 뒤에 정예 근위병들이 배치된 요새
1064,Zone_1064,부여의 하늘 제단,6401,6500,0,기상 마법의 위력이 강화되는 보스전 전용 탁 트인 지형
1065,소용돌이,한산도 앞바다,6501,6600,0,해상전 전용 맵. 소용돌이를 이용한 함선 조종 기믹
1066,울돌목,명량 해협,6601,6700,0,소리만으로도 위압감을 주는 고난도 해상 기동 구역
1067,암도,서해 해적의 섬,6701,6800,0,해적 NPC들의 본거지. 함정과 매복이 가득한 섬
1068,Zone_1068,제주 돌담 미로,6801,6900,0,지형이 실시간으로 변하는 미로형 마을 방어 맵
1069,Zone_1069,설악산 공룡능선,6901,7000,0,고공 액션 특화 지형. 비거(飛車)를 활용한 이동 권장
1070,Zone_1070,오대산 전나무 숲길,7001,7100,0,힐링 및 휴식 구역. 상태이상이 빠르게 정화되는 장소
1071,돌탑성지,삼성궁,7101,7200,0,기를 모으거나 고대 기술을 전수받는 신비로운 수행처
1072,Zone_1072,울릉도 나리분지,7201,7300,0,외부와 차단된 비밀 마을. 독특한 생태계의 몬스터 서식
1073,Zone_1073,강원도 버려진 탄광,7301,7400,0,가스 폭발 위험이 있는 긴장감 넘치는 지하 탐사 던전
1074,Zone_1074,낙동강 삼각주 갈대밭,7401,7500,0,은신해서 접근하는 적들을 파악하기 어려운 매복 지형
1075,Zone_1075,한양 도성 성벽길,7501,7600,0,도시 수호 미션이 자주 발생하는 야간 방어전 특화 맵
1076,Zone_1076,불국사 다보탑 광장,7601,7700,0,신성 마법의 효율이 극대화되는 정화의 성소
1077,전옥서,조선 감옥,7701,7800,0,잠입 및 탈출 미션 전용. 장비를 빼앗긴 채 시작하는 구역
1078,Zone_1078,율도국 비밀 정원,7801,7900,0,최종 티어 아이템 재료를 채집할 수 있는 환상적인 공간
1079,Zone_1079,무인도 귀양지,7901,8000,0,생존 서바이벌 모드 전용 맵. 자급자족이 핵심
1080,월궁,달나라,8001,8100,0,중력이 낮아 점프력이 상승하는 고난도 이계 지형
1081,Zone_1081,동굴 속 연금술사의 방,8101,8200,0,특수한 물약이나 폭발물을 제조할 수 있는 비밀 작업실
1082,Zone_1082,해인사 팔만대장경판전,8201,8300,0,지식(INT) 수치가 일시적으로 상승하는 기록의 성지
1083,소라관문,용궁 입구,8301,8400,0,수중 세계로 들어가기 전 호흡 버프를 받는 전초기지
1084,Zone_1084,화전민의 불타는 산,8401,8500,0,화염 속성 저항이 필요한 재난 테마의 필드
1085,Zone_1085,암행어사의 비밀 거처,8501,8600,0,어사 관련 퀘스트를 수령하고 정비를 하는 안전 가옥
1086,Zone_1086,선녀와 나무꾼의 연못,8601,8700,0,연꽃을 타고 이동하거나 비밀 상자를 찾는 이벤트 지형
1087,Zone_1087,도깨비의 씨름 마당,8701,8800,0,1:1 결투(PvP) 혹은 대장전이 벌어지는 원형 경기장
1088,Zone_1088,망령이 떠도는 비무장지대,8801,8900,0,과거와 현재의 영혼들이 뒤섞인 기묘한 전장 맵
1089,열리는바다,진도 바닷길,8901,9000,0,특정 시간에만 나타나는 지형. 신속한 통과가 관건
1090,Zone_1090,고려 석조 미륵 광장,9001,9100,0,거대 보스 몬스터와 싸우기 적합한 넓은 오픈 아레나
1091,飛車공중활주로,비거,9101,9200,0,공중 탈것을 이용해 다른 대륙으로 이동하는 허브
1092,Zone_1092,한강 나루터 상단,9201,9300,0,경제 활동과 상단 호위 임무가 시작되는 물류 거점
1093,Zone_1093,가야 고분 언덕,9301,9400,0,무덤 사이에서 귀신들과 싸우는 으스스한 평원 지형
1094,얼음창고,석빙고,9401,9500,0,냉기 마법 재료를 구하거나 보관하는 특수 지하 공간
1095,Zone_1095,평양 기방의 비밀 다락,9501,9600,0,은밀한 정보 수집이나 암살 미션이 벌어지는 실내 맵
1096,Zone_1096,남해 금산 보리암,9601,9700,0,기도가 이루어지면 무작위 버프를 주는 영험한 장소
1097,안개,단양 도담삼봉,9701,9800,0,보트를 타고 이동하며 수중 괴물을 사냥하는 맵
1098,Zone_1098,서울 인왕산 선바위,9801,9900,0,저주를 해제하거나 강력한 부적을 강화하는 무속 성지
1099,Zone_1099,삼국 통일의 고대 전장,9901,10000,0,언데드 군단이 몰려오는 디펜스 모드 최적화 맵
1100,Zone_1100,아카이비스트의 비밀 별채,10001,10100,0,"2,600개 에셋을 정리하며 휴식을 취하는 최종 안식처"
1101,얼음호수,백두산 천지,10101,10200,0,대형 용(Dragon) 보스가 잠들어 있는 최종장급 지형
1102,Zone_1102,수원 화성 성곽 내부,10201,10300,0,복합적인 방어 구조를 가진 전략적 공성전 맵
1103,Zone_1103,진주성 촉석루,10301,10400,0,적장을 끌어안고 투신하는 특수 기믹이 존재하는 맵
1104,폐허,거제도 포로수용소,10401,10500,0,탈출과 잠입이 주가 되는 현대적 감각의 폐허 던전
1105,Zone_1105,남해안 가두리 양식장,10501,10600,0,해상 위에서 균형을 잡으며 싸워야 하는 이색 지형
1106,Zone_1106,고구려 안시성,10601,10700,0,몰려오는 대군을 막아내는 대규모 수성전 맵
1107,흐르는물,신라 포석정,10701,10800,0,흐르는 물 위에 아이템을 띄워 전달하는 기믹 맵
1108,임시,고려 강화도 가궁,10801,10900,0,몽골군을 막아내기 위한 요새화된 섬 지형
1109,불타는,한양 육조거리,10901,11000,0,전쟁이나 반란 상황을 가정한 파괴된 도시 테마 맵
1110,Zone_1110,독도 지하 수정 동굴,11001,11100,0,해저로 연결된 비밀 통로이자 고대의 힘이 깃든 장소
1111,Zone_1111,울릉도 성인봉 원시림,11101,11200,0,쥬라기 시대를 방불케 하는 거대 몬스터 서식지
1112,Zone_1112,거문도 영국군 묘지,11201,11300,0,서양 귀신과 한국 귀신이 동시에 출현하는 기묘한 맵
1113,Zone_1113,남도 섬마을 염전,11301,11400,0,소금 결정에 적의 움직임이 노출되는 독특한 시각 맵
1114,Zone_1114,백제 정림사지 5층 석탑,11401,11500,0,기도를 통해 아군의 스킬 위력을 높이는 신성 지역
1115,Zone_1115,조선판 네크로맨서의 숲,11501,11600,0,짚인형 군단이 습격해오는 저주받은 숲 지형
1116,파괴된,한강 철교,11601,11700,0,점프 액션과 낙사 방지가 중요한 폐허 도시 지형
1117,야간,경주 대릉원,11701,11800,0,밤에만 열리는 비밀 던전 입구가 숨겨진 평원
1118,Zone_1118,해인사 독경 소리 계곡,11801,11900,0,마나(MP) 회복 속도가 비약적으로 상승하는 수행처
1119,Zone_1119,평양 평양성 외곽,11901,12000,0,공성 병기를 활용하여 성벽을 부수고 진입하는 전장
1120,Zone_1120,가야 철기 보물 창고,12001,12100,0,고가의 장비와 강화 재료가 대량으로 보관된 던전
1121,Zone_1121,조선 저잣거리 피맛골,12101,12200,0,암살자가 숨어들기 최적화된 복잡하고 어두운 도심
1122,Zone_1122,한라산 용암 수로,12201,12300,0,화염 속성 보스와의 최종 결전지. 발판 관리가 핵심
1123,Zone_1123,동해 무릉계곡,12301,12400,0,바위에 글자를 새겨 마법진을 활성화하는 기믹 지형
1124,Zone_1124,부여 낙화암 절벽,12401,12500,0,낙하 데미지 면역 아이템을 시험하거나 고공 전투 전용
1125,Zone_1125,묘령의 여우 고개,12501,12600,0,길을 갈 때마다 풍경이 변하며 반복되는 루프형 지형
1126,구름위,지리산 노고단,12601,12700,0,구름 위를 걷는 듯한 몽환적인 분위기의 고고도 지형
1127,Zone_1127,백제 금동관의 지하 묘실,12701,12800,0,고대의 수호자들이 깨어나 침입자를 막는 고난도 던전
1128,Zone_1128,고려 궁궐 만월대,12801,12900,0,밤에만 공격력이 상승하는 특정 직업군의 본거지
1129,Zone_1129,조선 암행어사 출두 전야,12901,13000,0,잠입 미션 전용 맵. 마패를 꺼내기 전까지 정체를 숨겨야 함
1130,Zone_1130,전설의 칠지도 제단,13001,13100,0,최강의 무기를 제련하거나 봉인을 해제하는 특수 장소
1131,Zone_1131,제주 산방산 해안동굴,13101,13200,0,눈물처럼 떨어지는 물방울을 모아 성수를 만드는 기믹
1132,Zone_1132,강원도 정선 아리랑 고개,13201,13300,0,음악(BGM)에 따라 적의 강도가 변하는 감성적 지형
1133,폐허,신라 황룡사지 터,13301,13400,0,과거의 영광과 현재의 쓸쓸함이 공존하는 정예 몬스터 맵
1134,Zone_1134,고구려 기마병 훈련소,13401,13500,0,말을 타고 장애물을 넘거나 타겟을 맞히는 미니게임 맵
1135,청령포,비운의 단종 유배지,13501,13600,0,탈출이 불가능한 고립 지형. 방어전과 생존이 핵심
1136,Zone_1136,조선 화포 제작소,13601,13700,0,폭발물 제조와 화기 숙련도를 높일 수 있는 기술 거점
1137,Zone_1137,신비의 가야금 제작 숲,13701,13800,0,나무를 두드려 소리를 내는 방식으로 길을 여는 퍼즐 지형
1138,Zone_1138,지옥 나장의 쇠사슬 방,13801,13900,0,적에게 끌려가 고문을 당하거나 탈출해야 하는 감옥 던전
1139,Zone_1139,선녀의 목욕 연못,13901,14000,0,체력과 마나를 동시에 최대치로 채워주는 온천형 지역
1140,Zone_1140,강화도 고인돌 광장,14001,14100,0,거대 보스가 돌을 던져 공격하는 개활지 전투 구역
1141,Zone_1141,묘령의 매분구 비밀 상점,14101,14200,0,밤에만 나타나는 상점 맵. 외형 변경과 특수 도구 판매
1142,Zone_1142,바람 부는 대나무 밭,14201,14300,0,바람의 소리로 적의 위치를 파악해야 하는 청각 특화 맵
1143,검은,타락한 고승의 사찰,14301,14400,0,불교 테마의 다크 판타지 던전. 강력한 주술 적들 출현
1144,Zone_1144,조선 수군의 거북선 도크,14401,14500,0,함선 업그레이드 및 해상전을 준비하는 군사 요새
1145,Zone_1145,지맥이 흐르는 풍수 명당,14501,14600,0,특정 위치에 서면 공격력이 3배로 증폭되는 전략 구역
1146,Zone_1146,삼두매의 벼랑 둥지,14601,14700,0,비행 몬스터들의 본거지. 수직 상승 기류를 이용한 전투
1147,火犬가사는태양의동굴,불개,14701,14800,0,일식이 일어나면 보스가 강해지는 시간 제한형 던전
1148,지하,역사 아카이비스트의 서고,14801,14900,0,리스트에서 삭제된 금기 에셋들이 보스로 등장하는 장소
1149,야간,조선 국왕의 비밀 정원,14901,15000,0,왕실의 비밀을 파헤치는 잠입 미션 전용 아름다운 맵
1150,Zone_1150,"2,700번째 기록의 관문",15001,15100,0,다음 에셋 리스트로 넘어가기 위한 시련의 장소
1151,Zone_1151,경복궁 사정전 지하 비밀실,15101,15200,0,국왕의 비밀 퀘스트를 수령하는 잠입 및 퍼즐 구역
1152,왕실주방,수라간,15201,15300,0,음식 아이템 제작 및 독극물 투입 저지 미션 장소
1153,황실도서관,집옥재,15301,15400,0,마법 스킬 해금 및 고대 언어 해독을 위한 지식 거점
1154,관청복도,궐내각사,15401,15500,0,관료 NPC들과의 정치적 상호작용 및 잠입 구역
1155,Zone_1155,삼청동 은밀한 다실,15501,15600,0,정보 상인들의 밀담 장소. 매혹 스탯 보너스 구역
1156,야간,피맛골 뒷골목,15601,15700,0,낮은 시야와 좁은 통로를 이용한 배후 습격 특화 지형
1157,Zone_1157,전옥서 지하 노역장,15701,15800,0,감옥 탈출 및 죄수 NPC 구출을 위한 하드코어 구역
1158,Zone_1158,성균관 대성전 마당,15801,15900,0,지능형 캐릭터들의 대결(말싸움/논쟁) 전용 필드
1159,망령의제단,종묘 정전,15901,16000,0,영체 상태의 국왕들과 대화하거나 시험을 치르는 공간
1160,야간,한양 도성 남대문,16001,16100,0,성문을 열기 위한 열쇠 탈취 및 대규모 수성전 맵
1161,Zone_1161,혜민서 약초 건조실,16101,16200,0,체력 회복 물약 제조 속도가 빨라지는 연금술 거점
1162,무기제작소,군기시,16201,16300,0,화기류 무기 업그레이드 및 신규 발명품 테스트장
1163,Zone_1163,만월대 비밀 통로,16301,16400,0,개성 만월대 지하에 숨겨진 보물 창고로 가는 미로
1164,Zone_1164,안압지 수중 연회장,16401,16500,0,수중 호흡 마법이 필요한 화려한 보스전 맵
1165,Zone_1165,무령왕릉 벽돌 묘실,16501,16600,0,도굴꾼을 막기 위한 고대 기계 함정이 가득한 던전
1166,Zone_1166,가야 철기 병기창,16601,16700,0,물리 방어구 전문 강화 장인이 상주하는 철의 방
1167,Zone_1167,부여 낙화암 아래 소용돌이,16701,16800,0,물속에 가라앉은 백제 보물을 찾는 수중 탐사 맵
1168,야경,동궁과 월지,16801,16900,0,적의 분신을 구별해내야 하는 환각 특화 전투 맵
1169,Zone_1169,조선식 미인도 속 세계,16901,17000,0,수묵화 스타일로 렌더링된 2D/3D 혼합 이계 공간
1170,Zone_1170,버려진 옹기 가마터,17001,17100,0,옹기 골렘이 생성되는 지형. 깨진 조각이 지형 피해 부여
1171,Zone_1171,나전칠기 보석함 내부,17101,17200,0,보석의 힘으로 크기가 작아져 탐험하는 초소형 던전
1172,한지건조실,종이 공방,17201,17300,0,종이 요괴들과 싸우는 맵. 화염 속성에 취약한 환경
1173,모래사장,화포 시험장,17301,17400,0,원거리 무기 데미지를 측정하고 연습하는 샌드박스 존
1174,Zone_1174,암행어사의 마패 제단,17401,17500,0,업적을 정산하고 '어사' 직급을 승급하는 성소
1175,Zone_1175,타락한 유학자의 서재,17501,17600,0,먹물이 살아움직여 플레이어를 구속하는 중보스 방
1176,Zone_1176,기괴한 탈춤 전시장,17601,17700,0,어떤 탈을 쓰느냐에 따라 플레이어의 스탯이 변하는 방
1177,간의대,조선판 천문대,17701,17800,0,별자리를 연결해 길을 여는 퍼즐형 옥상 지형
1178,Zone_1178,기생집 비밀 지하 방,17801,17900,0,매혹 계열 기술을 습득하거나 중요 NPC와 밀당하는 장소
1179,Zone_1179,포도청 취조실,17901,18000,0,진실을 말하게 하거나 고문을 견뎌야 하는 이벤트 맵
1180,Zone_1180,대장장이의 화염 지옥,18001,18100,0,극한의 열기 속에서 전설의 무기를 제련하는 보스룸
1181,麒麟의정원,기린,18101,18200,0,신수 기린이 머무는 곳. 닿기만 해도 모든 버프가 풀로 충전
1182,알현실,하백의 수중 궁전,18201,18300,0,수중 전투력 페널티가 없는 신비로운 물속 공간
1183,Zone_1183,선녀의 하늘 목욕탕,18301,18400,0,장비의 무게감이 사라져 점프력이 300% 상승하는 구역
1184,Zone_1184,도깨비의 보물 창고,18401,18500,0,일정 시간 내에 최대한 많은 보물을 챙겨야 하는 타임어택 룸
1185,Zone_1185,바리공주의 약수 샘터,18501,18600,0,죽은 캐릭터의 스탯 페널티를 완전히 씻어내는 성소
1186,Zone_1186,저승 차사의 명부 보관소,18601,18700,0,전 세계 플레이어들의 사망 기록이 벽면을 채운 메타 룸
1187,Zone_1187,심마니의 꿈속 산삼밭,18701,18800,0,현실에는 없는 전설의 '천종산삼'을 찾는 미니 게임 맵
1188,Zone_1188,거북선의 가시 갑판,18801,18900,0,적 함선의 선원들이 뛰어내리지 못하게 하는 방어 특화 지형
1189,산정상,신기전 발사대,18901,19000,0,원거리 공격 시 사거리가 2배로 증가하는 저격 특화 포인트
1190,자격루내부,조선식 시계,19001,19100,0,시간의 흐름을 조작하여 퍼즐을 푸는 기계적 던전
1191,Zone_1191,삼별초의 제주 항전 요새,19101,19200,0,파도 소리와 함께 몰려오는 적군을 막아내는 디펜스 맵
1192,야간,벽란도 시장,19201,19300,0,해외 상인들과 비밀 아이템을 거래하는 무역 특화 구역
1193,청룡의방,고구려 사신도 무덤,19301,19400,0,전격 속성 함정이 가득한 민첩성 테스트 던전
1194,백호의방,고구려 사신도 무덤,19401,19500,0,강한 돌풍이 불어 플레이어를 밀어내는 물리 저항 던전
1195,주작의방,고구려 사신도 무덤,19501,19600,0,화염 데미지가 상시로 들어오는 생존형 던전
1196,현무의방,고구려 사신도 무덤,19601,19700,0,이동 속도가 느려지고 적들이 방어력을 높이는 수비형 던전
1197,Zone_1197,조선 선비의 은거 암자,19701,19800,0,정신(Mental) 수치를 회복하거나 지혜 스탯을 얻는 휴식처
1198,士禍가휩쓴폐가,사화,19801,19900,0,과거의 비극적인 사건이 환영으로 재생되는 스토리텔링 던전
1199,Zone_1199,전우치의 족자 속 산수화,19901,20000,0,색상이 없는 세상. 먹물 농도에 따라 지형의 단단함이 변함
1200,Zone_1200,아카이비스트의 '미완성' 페이지,20001,20100,0,리스트의 중반을 넘어서며 나타나는 불안정한 데이터 공간
1201,GhostMarket,귀시장,20101,20200,0,밤에만 열리는 요괴들의 시장. 인간의 감정을 화폐로 사용
1202,가야산,신선의 바둑판,20201,20300,0,바둑돌을 움직여 지형을 바꾸며 싸우는 퍼즐 보스전 맵
1203,Zone_1203,이무기의 승천 동굴,20301,20400,0,이무기가 용이 되기 위해 수련하던 습하고 전기가 흐르는 맵
1204,Zone_1204,구미호의 9층 석탑,20401,20500,0,각 층마다 여우의 환각을 깨뜨려야 하는 탑형 던전
1205,Zone_1205,장산범의 하얀 계곡,20501,20600,0,소리를 내면 장산범에게 위치가 노출되는 스텔스 특화 맵
1206,Zone_1206,어둑시니의 거대 그림자,20601,20700,0,플레이어의 그림자가 몬스터가 되어 공격하는 기묘한 지형
1207,Zone_1207,두억시니의 뼈 산,20701,20800,0,물리적인 파괴가 주가 되는 험악한 보스 전장
1208,Zone_1208,불가사리의 무쇠 위장,20801,20900,0,불가사리에게 먹힌 뒤 탈출하는 생체 던전 컨셉
1209,Zone_1209,태양을 삼킨 불개의 굴,20901,21000,0,시야가 차단된 상태에서 불개의 위치를 소리로 찾아야 함
1210,Zone_1210,삼두매의 벼랑 위 둥지,21001,21100,0,수직 이동과 활강이 중요한 고난도 플랫폼 지형
1211,Zone_1211,월하노인의 붉은 실 방,21101,21200,0,실을 따라 이동하거나 끊어내며 길을 찾는 퍼즐 구역
1212,Zone_1212,지옥 1층: 발설 지옥,21201,21300,0,말을 조심해야 하는 기믹. 특정 스킬 사용 시 데미지 반사
1213,Zone_1213,지옥 2층: 한빙 지옥,21301,21400,0,이동 속도가 90% 감소하며 빙결 저항 아이템 필수 구역
1214,Zone_1214,지옥 3층: 화탕 지옥,21401,21500,0,화염 데미지와 증기 공격이 끊이지 않는 극한의 생존 구역
1215,Zone_1215,명부의 업경대 광장,21501,21600,0,지금까지 처치한 몬스터들의 망령이 한꺼번에 습격하는 곳
1216,Zone_1216,선계의 복숭아 숲,21601,21700,0,체력이 무한으로 재생되지만 공격을 할 수 없는 평화 구역
1217,Zone_1217,옥황상제의 근정전,21701,21800,0,최종 티어의 신성 기술을 습득하거나 신들에게 도전하는 맵
1218,飛車의공중항로,비거,21801,21900,0,공중 이동 수단을 타고 이동하며 벌이는 고공 추격전 맵
1219,Zone_1219,가야 가야금의 공명 동굴,21901,22000,0,특정 주파수의 음악을 연주해야만 문이 열리는 사운드 퍼즐
1220,Zone_1220,묘두사의 밤의 숲,22001,22100,0,밤에만 지형이 나타나고 낮에는 낭떠러지로 변하는 기믹
1221,Zone_1221,단군의 쑥과 마늘 굴,22101,22200,0,일정 시간 동안 가만히 버텨야 보상을 얻는 수행형 맵
1222,Zone_1222,환웅의 천부인 보관소,22201,22300,0,한국 신화의 근원적인 힘이 깃든 전설 등급 유물 안치소
1223,Zone_1223,마고할미의 거대 발자국,22301,22400,0,거인의 흔적 자체가 산맥과 호수가 된 광활한 오픈 필드
1224,Zone_1224,계수나무 아래 월궁,22401,22500,0,지구력이 천천히 소모되지만 마나 회복량이 폭증하는 장소
1225,Zone_1225,용궁의 진주 보관고,22501,22600,0,빛의 반사를 이용해 보이지 않는 길을 찾는 반사 퍼즐 맵
1226,Zone_1226,타락한 차사의 검은 배,22601,22700,0,저승 강 위에서 벌어지는 선상 전투 맵. 강물에 빠지면 즉사
1227,Zone_1227,신비로운 옹기마을,22701,22800,0,모든 NPC가 옹기 속에 사는 기묘하고 평화로운 마을
1228,Zone_1228,"바람의 신, 영등할망의 바다",22801,22900,0,바람의 방향에 따라 이동 속도가 결정되는 항해 맵
1229,Zone_1229,처용의 춤추는 광장,22901,23000,0,춤추는 적들 사이를 뚫고 지나가야 하는 타이밍 액션 맵
1230,하이웨이,천릿길,23001,23100,0,지역 간 고속 이동을 위한 전용 통로. 질주 보너스 부여
1231,Zone_1231,비운의 왕비의 한이 맺힌 연못,23101,23200,0,빙결 속성과 정신 공격이 동시에 들어오는 비극적 장소
1232,Zone_1232,장영실의 별 관측 지하수,23201,23300,0,수면의 각도를 조절해 별빛을 특정 위치로 쏘는 퍼즐
1233,침몰선,고려 상단의 보물 창고,23301,23400,0,산소 소모가 심하지만 고가의 고려청자를 얻는 파밍 맵
1234,Zone_1234,신라 화랑의 수련 폭포,23401,23500,0,폭포수를 맞으며 버티는 미니 게임과 스테미나 훈련장
1235,Zone_1235,조선식 닌자 '체탐인'의 은신처,23501,23600,0,적에게 들키지 않고 통과해야 하는 고난도 잠입 던전
